DATETIME,CATEGORY,DESCRIPTION,UNIT_PRICE,QUANTITY,PAYMENT_TYPE,CARD_NUM,EMPLOYEE_ID
2023-04-01 00:05:58,drinks,ICED MOCHA,10.99,2,cash,-,813-95-6575
2023-04-01 00:07:56,sandwiches,GRILLED CHEESE,5.99,2,credit card,2248818497319189,813-95-6575
2023-04-01 00:10:22,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,2715448654354490,813-95-6575
2023-04-01 00:14:52,drinks,FRAPPÉ,11.05,1,credit card,3563475744958833,813-95-6575
2023-04-01 00:19:32,sandwiches,ROAST BEEF SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 01:07:48,sandwiches,GRILLED CHEESE,5.99,2,credit card,676211607392,059-60-8333
2023-04-01 01:25:36,drinks,CAPPUCCINO,9.99,3,credit card,568248556454,059-60-8333
2023-04-01 01:27:48,sandwiches,EGG SANDWICH,5.99,1,cash,-,813-95-6575
2023-04-01 01:39:54,drinks,CAFFÈ MOCHA,9.55,1,cash,-,059-60-8333
2023-04-01 01:42:07,drinks,CAFFÈ LATTE,8.99,2,credit card,4218565965051222,059-60-8333
2023-04-01 01:49:05,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,5484734870485727,279-94-1900
2023-04-01 01:52:47,drinks,CAFFÈ LATTE,8.99,1,cash,-,059-60-8333
2023-04-01 02:08:21,drinks,CAPPUCCINO,9.99,2,credit card,4694711623971,279-94-1900
2023-04-01 02:15:02,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,813-95-6575
2023-04-01 02:18:46,drinks,ESPRESSO,7.99,1,credit card,2720248053213781,279-94-1900
2023-04-01 02:21:05,drinks,ESPRESSO,7.99,2,cash,-,279-94-1900
2023-04-01 02:24:25,sandwiches,GRILLED CHEESE,5.99,2,credit card,5397212203695243,813-95-6575
2023-04-01 02:35:54,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,3503047274980405,813-95-6575
2023-04-01 02:38:27,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,4734232000551065295,059-60-8333
2023-04-01 02:41:10,sandwiches,EGG SANDWICH,5.99,3,cash,-,813-95-6575
2023-04-01 02:41:46,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,059-60-8333
2023-04-01 02:49:11,drinks,ICED MOCHA,10.99,3,credit card,3540128278747332,813-95-6575
2023-04-01 02:52:22,drinks,ESPRESSO,7.99,2,credit card,6526305334849572,059-60-8333
2023-04-01 03:03:16,sandwiches,GRILLED CHEESE,5.99,2,cash,-,813-95-6575
2023-04-01 03:37:09,sandwiches,EGG SANDWICH,5.99,2,credit card,213179599541468,279-94-1900
2023-04-01 04:01:09,sandwiches,ROAST BEEF SANDWICH,5.99,3,cash,-,059-60-8333
2023-04-01 04:03:42,sandwiches,GRILLED CHEESE,5.99,2,credit card,213182263080722,279-94-1900
2023-04-01 04:06:18,drinks,CAFFÈ MOCHA,9.55,1,cash,-,279-94-1900
2023-04-01 04:07:01,drinks,CAPPUCCINO,9.99,2,cash,-,279-94-1900
2023-04-01 04:09:37,sandwiches,GRILLED CHEESE,5.99,2,credit card,4326774070154568671,059-60-8333
2023-04-01 04:21:56,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,4428519002439,059-60-8333
2023-04-01 04:22:00,drinks,CAFFÈ LATTE,8.99,1,credit card,4192756082273407,813-95-6575
2023-04-01 04:31:18,drinks,CAFFÈ LATTE,8.99,1,credit card,676301452832,059-60-8333
2023-04-01 04:35:33,sandwiches,EGG SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 04:37:53,drinks,CAFFÈ LATTE,8.99,1,credit card,372498326225287,059-60-8333
2023-04-01 04:38:28,sandwiches,GRILLED CHEESE,5.99,1,credit card,2632102776513372,813-95-6575
2023-04-01 04:40:56,drinks,ESPRESSO,7.99,1,cash,-,813-95-6575
2023-04-01 04:41:39,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,2271568907688174,279-94-1900
2023-04-01 04:45:07,drinks,CAFFÈ MOCHA,9.55,1,credit card,6011545897821284,813-95-6575
2023-04-01 04:49:02,drinks,ESPRESSO,7.99,2,credit card,3541288318735710,279-94-1900
2023-04-01 04:59:15,drinks,ICED MOCHA,10.99,1,credit card,4650441562095,279-94-1900
2023-04-01 05:02:18,drinks,ESPRESSO,7.99,2,credit card,3555748863548555,059-60-8333
2023-04-01 05:05:28,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,30201001406550,059-60-8333
2023-04-01 05:05:55,sandwiches,GRILLED CHEESE,5.99,1,cash,-,059-60-8333
